Lan,Kommun,Percent
Stockholm,Botkyrka,28
Stockholm,Danderyd,26
Stockholm,Ekerö,21
Stockholm,Haninge,30
Stockholm,Huddinge,36
Stockholm,Järfälla,23
Stockholm,Lidingö,null
Stockholm,Nacka,null
Stockholm,Nortällje,null
Stockholm,Nykvarn,null
Stockholm,Nynäshamn,11
Stockholm,Salem,24
Stockholm,Sigtuna,26
Stockholm,Sollentuna,16
Stockholm,Solna,null
Stockholm,Stockholm Stad,23
Stockholm,Sundbyberg,29
Stockholm,Södertälje,48
Stockholm,Tyresö,26
Stockholm,Täby,21
Stockholm,Upplands Bro,null
Stockholm,Upplands Väsby,25
Stockholm,Vallentuna,null
Stockholm,Vaxholm,28
Stockholm,Värmdö,22
Stockholm,Österåker,19
Uppsala,Enköping,6
Uppsala,Heby,12
Uppsala,Håbo,24
Uppsala,Knivsta,22
Uppsala,Tierp,19
Uppsala,Uppsala,21
Uppsala,Älvkarleby,8
Uppsala,Östhammar,18
Södermanland,Eskilstuna,46
Södermanland,Flen,19
Södermanland,Gnesta,null
Södermanland,Katrineholm,32
Södermanland,Nyköping,40
Södermanland,Oxelösund,15
Södermanland,Strängnäs,null
Södermanland,Trosa,41
Södermanland,Vingåker,25
Östergötland,Boxholm,11
Östergötland,Finspång,25
Östergötland,Kinda,27
Östergötland,Linköping,28
Östergötland,Mjölby,8
Östergötland,Motala,45
Östergötland,Norrköping,25
Östergötland,Söderköping,24
Östergötland,Vadstena,23
Östergötland,Valdermarsvik,22
Östergötland,Ydre,22
Östergötland,Åtvidaberg,null
Östergötland,Ödeshög,14
Jönköping,Aneby,null
Jönköping,Eksjö,8
Jönköping,Gislaved,33
Jönköping,Gnosjö,11
Jönköping,Habo,null
Jönköping,Jönköping,20
Jönköping,Mullsjö,21
Jönköping,Nässjö,14
Jönköping,Sävsjö,18
Jönköping,Tranås,11
Jönköping,Vaggeryd,36
Jönköping,Vetlanda,9
Jönköping,Värnamo,12
Kronoberg,Alvesta,38
Kronoberg,Lessebo,20
Kronoberg,Ljungby,22
Kronoberg,Markaryd,null
